Año,Población,Nacimientos_vivos,Muertes,Cambio_natural,Tasa_cruda_de_natalidad,Tasa_cruda_de_mortalidad,Cambio_natural(1000),Tasa_total_de_fertilidad
1900,18520000.0,627848.0,536716.0,91132.0,339.0,290.0,49.0,449.0
1901,18610000.0,650649.0,517575.0,133074.0,350.0,278.0,71.0,471.0
1902,18720000.0,666687.0,488289.0,178398.0,356.0,261.0,96.0,47.0
1903,18810000.0,685265.0,470387.0,214878.0,364.0,250.0,114.0,468.0
1904,18980000.0,649878.0,486889.0,162989.0,342.0,257.0,86.0,467.0
1905,19110000.0,670651.0,491369.0,179282.0,351.0,257.0,94.0,466.0
1906,19250000.0,650385.0,499018.0,151367.0,338.0,259.0,78.0,461.0
1907,19380000.0,646371.0,472007.0,174364.0,333.0,244.0,90.0,457.0
1908,19530000.0,658008.0,460946.0,197062.0,337.0,236.0,101.0,452.0
1909,19670000.0,650498.0,466648.0,183850.0,331.0,237.0,93.0,448.0
1910,19770000.0,646975.0,456158.0,190817.0,327.0,231.0,97.0,443.0
1911,19950000.0,628443.0,466525.0,161918.0,315.0,234.0,81.0,439.0
1912,20040000.0,637860.0,426297.0,211563.0,318.0,213.0,106.0,435.0
1913,20170000.0,617850.0,449349.0,168501.0,306.0,223.0,84.0,43.0
1914,20310000.0,608207.0,450340.0,157867.0,299.0,222.0,78.0,426.0
1915,20430000.0,631462.0,452479.0,178983.0,309.0,221.0,88.0,422.0
1916,20610000.0,599011.0,441673.0,157338.0,291.0,214.0,76.0,42.0
1917,20740000.0,602139.0,465722.0,136417.0,290.0,225.0,66.0,419.0
1918,20910000.0,612637.0,695758.0,-83121.0,293.0,333.0,-40.0,417.0
1919,21000000.0,585963.0,482752.0,103211.0,279.0,230.0,49.0,416.0
1920,21130000.0,623339.0,494540.0,128799.0,295.0,234.0,61.0,414.0
1921,21270000.0,648892.0,455469.0,193423.0,305.0,214.0,91.0,408.0
1922,21510000.0,656093.0,441330.0,214763.0,305.0,205.0,100.0,402.0
1923,21740000.0,662576.0,449683.0,212893.0,305.0,207.0,98.0,402.0
1924,21990000.0,653085.0,430590.0,222495.0,297.0,196.0,101.0,392.0
1925,22160000.0,644741.0,432400.0,212341.0,291.0,195.0,96.0,382.0
1926,22400000.0,663401.0,420838.0,242563.0,296.0,188.0,108.0,387.0
1927,22610000.0,636028.0,419816.0,216212.0,281.0,186.0,96.0,37.0
1928,22860000.0,666240.0,413002.0,253238.0,291.0,181.0,111.0,38.0
1929,23120000.0,653668.0,407486.0,246182.0,283.0,176.0,107.0,369.0
1930,23340000.0,660860.0,394488.0,266372.0,283.0,169.0,114.0,368.0
1931,23510000.0,649276.0,408977.0,240299.0,276.0,174.0,102.0,358.0
1932,23897000.0,670670.0,388900.0,281770.0,283.0,165.0,118.0,364.0
1933,24122000.0,667866.0,394750.0,273116.0,279.0,165.0,114.0,359.0
1934,24349000.0,641889.0,392793.0,249096.0,264.0,161.0,102.0,338.0
1935,24578000.0,636725.0,388757.0,247968.0,259.0,158.0,101.0,331.0
1936,24810000.0,617220.0,417108.0,200112.0,249.0,168.0,81.0,318.0
1937,25043000.0,568977.0,475310.0,93667.0,227.0,190.0,37.0,289.0
1938,25279000.0,508726.0,487546.0,21180.0,201.0,193.0,8.0,256.0
1939,25517000.0,422345.0,472611.0,-50266.0,166.0,185.0,-20.0,212.0
1940,25757000.0,631285.0,428416.0,202869.0,245.0,166.0,79.0,309.0
1941,25999000.0,511157.0,487748.0,23409.0,197.0,188.0,9.0,247.0
1942,26244000.0,530845.0,387844.0,143001.0,202.0,148.0,54.0,253.0
1943,26491000.0,606971.0,352587.0,254384.0,229.0,133.0,96.0,288.0
1944,26620000.0,602091.0,349114.0,253796.0,226.0,131.0,95.0,284.0
1945,26770000.0,621558.0,330581.0,290977.0,232.0,123.0,109.0,291.0
1946,27030000.0,585381.0,353371.0,232010.0,217.0,131.0,86.0,27.0
1947,27150000.0,588732.0,330341.0,258391.0,217.0,122.0,95.0,267.0
1948,27593000.0,642041.0,305310.0,336731.0,233.0,111.0,122.0,288.0
1949,27811000.0,601759.0,321541.0,280218.0,216.0,116.0,101.0,268.0
1950,28009000.0,565378.0,305934.0,259444.0,202.0,109.0,93.0,245.0
1951,28236000.0,567474.0,327236.0,240238.0,201.0,116.0,85.0,247.0
1952,28474000.0,593019.0,276735.0,316284.0,208.0,97.0,111.0,251.0
1953,28713000.0,589188.0,278522.0,310666.0,205.0,97.0,108.0,255.0
1954,28955000.0,577886.0,264668.0,313218.0,200.0,91.0,108.0,259.0
1955,29199000.0,598970.0,274188.0,324782.0,205.0,94.0,111.0,262.0
1956,29445000.0,608121.0,290410.0,317711.0,207.0,99.0,108.0,266.0
1957,29693000.0,646784.0,293502.0,353282.0,218.0,99.0,119.0,269.0
1958,29943000.0,653216.0,260683.0,392533.0,218.0,87.0,131.0,272.0
1959,30195000.0,654474.0,269591.0,384883.0,217.0,89.0,127.0,274.0
1960,30455000.0,663375.0,268941.0,394434.0,218.0,88.0,130.0,277.0
1961,30744000.0,654616.0,263441.0,391175.0,213.0,86.0,127.0,279.0
1962,31067000.0,658816.0,278575.0,380241.0,212.0,90.0,122.0,28.0
1963,31393000.0,671520.0,282460.0,389060.0,214.0,90.0,124.0,282.0
1964,31723000.0,697697.0,273955.0,423742.0,220.0,86.0,134.0,283.0
1965,32056000.0,676361.0,274271.0,402090.0,211.0,86.0,125.0,283.0
1966,32394000.0,669919.0,276173.0,393746.0,207.0,85.0,122.0,284.0
1967,32734000.0,680125.0,280494.0,399631.0,208.0,86.0,122.0,285.0
1968,33079000.0,667311.0,282628.0,384683.0,202.0,85.0,116.0,286.0
1969,33427000.0,666568.0,303402.0,363166.0,199.0,91.0,109.0,287.0
1970,33779000.0,663667.0,286067.0,377600.0,196.0,85.0,112.0,288.0
1971,34216000.0,672092.0,308516.0,363576.0,197.0,90.0,106.0,288.0
1972,34572000.0,672405.0,285508.0,386897.0,195.0,83.0,112.0,286.0
1973,34921000.0,672963.0,301803.0,371160.0,193.0,87.0,107.0,284.0
1974,35288000.0,688711.0,300403.0,388308.0,196.0,85.0,110.0,289.0
1975,35688000.0,669378.0,298192.0,371186.0,188.0,84.0,105.0,275.0
1976,36118000.0,677456.0,299007.0,378449.0,189.0,83.0,105.0,268.0
1977,36564000.0,656357.0,294324.0,362033.0,181.0,81.0,100.0,259.0
1978,36741000.0,636892.0,296781.0,340111.0,173.0,81.0,92.0,248.0
1979,37289000.0,601992.0,291213.0,310779.0,162.0,78.0,84.0,236.0
1980,37527000.0,571018.0,289344.0,281674.0,152.0,77.0,75.0,222.0
1981,37741000.0,533008.0,293386.0,239622.0,141.0,78.0,63.0,209.0
1982,37942000.0,515706.0,286655.0,229051.0,136.0,76.0,60.0,196.0
1983,38122000.0,485352.0,302569.0,182783.0,127.0,79.0,48.0,184.0
1984,38279000.0,473281.0,299409.0,173872.0,124.0,78.0,45.0,173.0
1985,38419000.0,456298.0,312532.0,143766.0,119.0,81.0,37.0,164.0
1986,38536000.0,438750.0,310413.0,128337.0,114.0,81.0,33.0,156.0
1987,38631000.0,426782.0,310073.0,116709.0,110.0,80.0,30.0,150.0
1988,38716000.0,418919.0,319437.0,99482.0,108.0,83.0,26.0,145.0
1989,38792000.0,408434.0,324796.0,83638.0,105.0,84.0,22.0,140.0
1990,38851000.0,401425.0,333142.0,68283.0,103.0,86.0,18.0,136.0
1991,38940000.0,395989.0,337691.0,58298.0,102.0,87.0,15.0,133.0
1992,39068000.0,396747.0,331515.0,65232.0,102.0,85.0,17.0,132.0
1993,39190000.0,385786.0,339661.0,46125.0,98.0,87.0,12.0,126.0
1994,39295000.0,370148.0,338242.0,31906.0,94.0,86.0,8.0,121.0
1995,39387000.0,363469.0,346227.0,17242.0,92.0,88.0,4.0,118.0
1996,39478000.0,362626.0,351449.0,11177.0,92.0,89.0,3.0,117.0
1997,39582000.0,369035.0,349521.0,19514.0,93.0,88.0,5.0,119.0
1998,39721000.0,365193.0,360511.0,4682.0,92.0,91.0,1.0,115.0
1999,39927000.0,380130.0,371102.0,9028.0,95.0,93.0,2.0,120.0
2000,40264000.0,397632.0,360391.0,37241.0,99.0,90.0,9.0,123.0
2001,40476000.0,406380.0,360131.0,46249.0,100.0,88.0,11.0,124.0
2002,41035000.0,418846.0,368618.0,50228.0,101.0,89.0,12.0,126.0
2003,41827000.0,441881.0,384828.0,57053.0,105.0,92.0,14.0,131.0
2004,42547000.0,454591.0,371934.0,82657.0,106.0,87.0,19.0,133.0
2005,43296000.0,466371.0,387355.0,79016.0,107.0,89.0,18.0,135.0
2006,44009000.0,482957.0,371478.0,111479.0,109.0,84.0,25.0,136.0
2007,44784000.0,492527.0,385361.0,107166.0,109.0,85.0,24.0,140.0
2008,45668000.0,519779.0,386324.0,133455.0,114.0,84.0,30.0,146.0
2009,46239000.0,494997.0,384933.0,110064.0,107.0,83.0,24.0,139.0
2010,46486000.0,486575.0,382047.0,104528.0,105.0,82.0,23.0,138.0
2011,46667000.0,471999.0,387911.0,84536.0,102.0,83.0,19.0,134.0
2012,,,,51698.0,97.0,86.0,11.0,132.0
2013,,,,,91.0,83.0,8.0,127.0
2014,,,,,91.0,85.0,6.0,132.0
2015,,,,-2278.0,90.0,91.0,-1.0,133.0
2016,,,,-28.0,88.0,88.0,-0.0,134.0
2017,,,,,84.0,91.0,-7.0,131.0
2018,,,,,79.0,91.0,-12.0,125.0
2019,,,,,77.0,89.0,-22.0,123.0
2020,47332614.0,339206.0,492930.0,-153724.0,72.0,104.0,-32.0,118.0
2021,47394223.0,,,,,,,
